Block,Waktu (s)
180,0.0722496509552002
181,0.25420212745666504
182,0.01166081428527832
183,0.015504598617553711
184,0.07655119895935059
185,0.009615421295166016
186,0.01353311538696289
187,0.03952836990356445
188,0.08049273490905762
189,0.01019906997680664
190,0.050745248794555664
191,0.02678823471069336
192,0.023081064224243164
193,0.026996374130249023
194,0.011970758438110352
195,0.01554560661315918
196,0.026914596557617188
197,0.23566126823425293
198,0.03937554359436035
199,0.0545961856842041
200,0.03738570213317871
201,0.13140225410461426
202,0.03664708137512207
203,0.09617781639099121
204,0.11317992210388184
205,0.054701805114746094
206,0.01351165771484375
207,0.034439802169799805
208,0.005757331848144531
209,0.031128644943237305
210,0.14893555641174316
211,0.050118446350097656
212,0.02786564826965332
213,0.18434596061706543
214,0.00950169563293457
215,0.005422830581665039
216,0.005025625228881836
217,0.00450587272644043
218,0.04326963424682617
219,0.0010008811950683594
220,0.021684646606445312
221,0.043709516525268555
222,0.0
223,0.3622162342071533
224,0.0045092105865478516
225,0.05649900436401367
226,0.014566421508789062
227,0.007691383361816406
228,0.017841815948486328
229,0.010509252548217773
230,0.10700058937072754
231,0.012916326522827148
232,0.06488251686096191
233,0.04156064987182617
234,0.10906696319580078
235,0.2362513542175293
236,0.0752248764038086
237,0.27284717559814453
238,0.01101064682006836
239,0.014552593231201172
240,0.08091568946838379
241,0.009505271911621094
242,0.012168407440185547
243,0.040595054626464844
244,0.09094023704528809
245,0.01401519775390625
246,0.05474257469177246
247,0.032045602798461914
248,0.02707076072692871
249,0.025491714477539062
250,0.01251220703125
251,0.01560831069946289
252,0.027046918869018555
253,0.25189709663391113
254,0.043521881103515625
255,0.057485103607177734
256,0.03959178924560547
257,0.13431739807128906
258,0.03872990608215332
259,0.0993192195892334
260,0.11095690727233887
261,0.052387237548828125
262,0.0133819580078125
263,0.0328974723815918
264,0.0055084228515625
265,0.029142379760742188
266,0.1477351188659668
267,0.04800152778625488
268,0.027498960494995117
269,0.1839122772216797
270,0.00962209701538086
271,0.0040018558502197266
272,0.00535130500793457
273,0.0035288333892822266
274,0.04245781898498535
275,0.00099945068359375
276,0.01965641975402832
277,0.04379129409790039
